namespace,tdwgutility_organizedInClass,term_localName,datatype
dwc:,GeologicalContext,latestPeriodOrHighestSystem,string
dwc:,GeologicalContext,member,string
ltc:,GeologicalContext,hasIdentifier,array<ltc:Identifier>
ltc:,GeologicalContext,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,GeologicalContext,hasReference,array<ltc:Reference>
ltc:,Identifier,identifierSource,string
ltc:,Identifier,identifierType,string
ltc:,Identifier,identifierValue,string
ltc:,Identifier,hasReference,array<ltc:Reference>
ltc:,LatimerCoreScheme,hasIdentifier,array<ltc:Identifier>
ltc:,LatimerCoreScheme,hasObjectGroup,array<ltc:ObjectGroup>
ltc:,LatimerCoreScheme,hasReference,array<ltc:Reference>
ltc:,LatimerCoreScheme,hasSchemeMeasurementOrFact,array<ltc:SchemeMeasurementOrFact>
ltc:,LatimerCoreScheme,hasSchemeTerm,array<ltc:SchemeTerm>
ltc:,MeasurementOrFact,hasIdentifier,array<ltc:Identifier>
dwc:,MeasurementOrFact,measurementAccuracy,string
ltc:,MeasurementOrFact,measurementDerivation,string
ltc:,MeasurementOrFact,measurementFactText,string
dwc:,MeasurementOrFact,measurementMethod,string
dwc:,MeasurementOrFact,measurementRemarks,string
dwc:,MeasurementOrFact,measurementType,string
dwc:,MeasurementOrFact,measurementUnit,string
dwc:,MeasurementOrFact,measurementValue,number
ltc:,MeasurementOrFact,hasReference,array<ltc:Reference>
ltc:,ObjectClassification,hasIdentifier,array<ltc:Identifier>
ltc:,ObjectClassification,isTopParent,boolean
ltc:,ObjectClassification,objectClassificationLevel,string
ltc:,ObjectClassification,objectClassificationName,string
ltc:,ObjectClassification,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,ObjectClassification,hasObjectClassification,array<ltc:ObjectClassification>
ltc:,ObjectClassification,hasReference,array<ltc:Reference>
ltc:,ObjectGroup,alternativeCollectionName,array<string>
ltc:,ObjectGroup,baseTypeOfObjectGroup,array<string>
ltc:,ObjectGroup,collectionManagementSystem,array<string>
ltc:,ObjectGroup,conditionsOfAccess,array<string>
dwc:,ObjectGroup,degreeOfEstablishment,array<string>
ltc:,ObjectGroup,discipline,array<string>
ltc:,ObjectGroup,hasChronometricAge,array<ltc:ChronometricAge>
ltc:,ObjectGroup,hasCollectionStatusHistory,array<ltc:CollectionStatusHistory>
ltc:,ObjectGroup,hasEcologicalContext,array<ltc:EcologicalContext>
ltc:,ObjectGroup,hasEvent,array<ltc:Event>
ltc:,ObjectGroup,hasGeographicContext,array<ltc:GeographicContext>
ltc:,ObjectGroup,hasGeologicalContext,array<ltc:GeologicalContext>
ltc:,ObjectGroup,hasIdentifier,array<ltc:Identifier>
ltc:,ObjectGroup,collectionName,string
ltc:,ObjectGroup,description,string
ltc:,ObjectGroup,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,ObjectGroup,isCurrentCollection,boolean
ltc:,ObjectGroup,isKnownToContainTypes,boolean
ltc:,ObjectGroup,hasObjectClassification,array<ltc:ObjectClassification>
ltc:,ObjectGroup,hasOrganisationalUnit,array<ltc:OrganisationalUnit>
ltc:,ObjectGroup,hasPersonRole,array<ltc:PersonRole>
ltc:,ObjectGroup,hasReference,array<ltc:Reference>
ltc:,ObjectGroup,hasResourceRelationship,array<ltc:ResourceRelationship>
ltc:,ObjectGroup,hasStorageLocation,array<ltc:StorageLocation>
ltc:,ObjectGroup,hasTaxon,array<ltc:Taxon>
ltc:,ObjectGroup,material,array<string>
ltc:,ObjectGroup,objectType,array<string>
ltc:,ObjectGroup,period,array<string>
ltc:,ObjectGroup,preparationType,array<string>
ltc:,ObjectGroup,preservationMethod,array<string>
ltc:,ObjectGroup,preservationMode,array<string>
ltc:,ObjectGroup,typeOfObjectGroup,array<string>
ltc:,OrganisationalUnit,hasAddress,array<ltc:Address>
ltc:,OrganisationalUnit,hasContactDetail,array<ltc:ContactDetail>
ltc:,OrganisationalUnit,hasIdentifier,array<ltc:Identifier>
ltc:,OrganisationalUnit,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,OrganisationalUnit,hasParentOrganisationalUnit,array<ltc:ParentOrganisationalUnit>
ltc:,OrganisationalUnit,hasPersonRole,array<ltc:PersonRole>
ltc:,OrganisationalUnit,organisationalUnitName,string
ltc:,OrganisationalUnit,organisationalUnitType,string
ltc:,OrganisationalUnit,hasReference,array<ltc:Reference>
ltc:,Person,hasAddress,array<ltc:Address>
ltc:,Person,hasContactDetail,array<ltc:ContactDetail>
ltc:,Person,hasIdentifier,array<ltc:Identifier>
ltc:,Person,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
schema:,Person,additionalName,string
schema:,Person,familyName,string
abcd:,Person,fullName,string
schema:,Person,givenName,string
ltc:,Person,hasReference,array<ltc:Reference>
ltc:,PersonRole,hasAddress,array<ltc:Address>
ltc:,PersonRole,hasContactDetail,array<ltc:ContactDetail>
ltc:,PersonRole,hasIdentifier,array<ltc:Identifier>
ltc:,PersonRole,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,PersonRole,hasPerson,array<ltc:Person>
ltc:,PersonRole,hasReference,array<ltc:Reference>
ltc:,PersonRole,hasRole,array<ltc:Role>
ltc:,PersonRole,hasTemporalCoverage,array<ltc:TemporalCoverage>
ltc:,RecordLevel,hasIdentifier,array<ltc:Identifier>
ltc:,RecordLevel,hasObjectGroup,array<ltc:ObjectGroup>
ltc:,RecordLevel,hasPersonRole,array<ltc:PersonRole>
ltc:,RecordLevel,hasReference,array<ltc:Reference>
ltc:,RecordLevel,isDerivedCollection,boolean
dc:,RecordLevel,license,string
dc:,RecordLevel,recordRights,string
dc:,RecordLevel,rightsHolder,string
ltc:,RecordLevel,hasResourceRelationship,array<ltc:ResourceRelationship>
ltc:,Reference,hasIdentifier,array<ltc:Identifier>
ltc:,Reference,referenceDetails,string
ltc:,Reference,referenceText,string
ltc:,Reference,referenceType,string
abcd:,Reference,resourceURI,string
ltc:,ResourceRelationship,hasIdentifier,array<ltc:Identifier>
ltc:,ResourceRelationship,hasReference,array<ltc:Reference>
dwc:,ResourceRelationship,relatedResourceID,string
ltc:,ResourceRelationship,relatedResourceName,string
dwc:,ResourceRelationship,relationshipEstablishedDate,string
dwc:,ResourceRelationship,relationshipOfResource,string
dwc:,ResourceRelationship,relationshipRemarks,string
dwc:,ResourceRelationship,resourceID,string
dwc:,ResourceRelationship,resourceRelationshipID,string
dwc:,ResourceRelationship,relationshipAccordingTo,array<string>
ltc:,Role,hasIdentifier,array<ltc:Identifier>
ltc:,Role,roleName,string
ltc:,SchemeMeasurementOrFact,hasIdentifier,array<ltc:Identifier>
ltc:,SchemeMeasurementOrFact,hasReference,array<ltc:Reference>
ltc:,SchemeMeasurementOrFact,isMandatoryMetric,boolean
ltc:,SchemeMeasurementOrFact,isRepeatableMetric,boolean
ltc:,SchemeMeasurementOrFact,schemeMeasurementType,string
ltc:,SchemeTerm,hasIdentifier,array<ltc:Identifier>
ltc:,SchemeTerm,hasReference,array<ltc:Reference>
ltc:,SchemeTerm,isMandatoryTerm,boolean
ltc:,SchemeTerm,isRepeatableTerm,boolean
ltc:,SchemeTerm,termName,string
ltc:,StorageLocation,hasAddress,array<ltc:Address>
ltc:,StorageLocation,hasIdentifier,array<ltc:Identifier>
ltc:,StorageLocation,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,StorageLocation,hasReference,array<ltc:Reference>
ltc:,StorageLocation,locationDescription,string
ltc:,StorageLocation,locationName,string
ltc:,StorageLocation,locationType,string
ltc:,Taxon,hasIdentifier,array<ltc:Identifier>
ltc:,Taxon,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,Taxon,hasReference,array<ltc:Reference>
dwc:,Taxon,genus,string
dwc:,Taxon,kingdom,string
dwc:,Taxon,scientificName,string
dwc:,Taxon,taxonRank,string
ltc:,TemporalCoverage,hasMeasurementOrFact,array<ltc:MeasurementOrFact>
ltc:,TemporalCoverage,hasReference,array<ltc:Reference>
ltc:,TemporalCoverage,temporalCoverageEndDateTime,string
ltc:,TemporalCoverage,temporalCoverageStartDateTime,string
ltc:,TemporalCoverage,temporalCoverageType,string
